Kategorie: Alle Kategorien

Woche,NASDAQ:AAPL: (Weltweit)
2019-12-29,19
2020-01-05,22
2020-01-12,24
2020-01-19,19
2020-01-26,35
2020-02-02,24
2020-02-09,20
2020-02-16,23
2020-02-23,39
2020-03-01,36
2020-03-08,46
2020-03-15,45
2020-03-22,37
2020-03-29,25
2020-04-05,21
2020-04-12,27
2020-04-19,21
2020-04-26,29
2020-05-03,22
2020-05-10,21
2020-05-17,20
2020-05-24,15
2020-05-31,18
2020-06-07,26
2020-06-14,23
2020-06-21,26
2020-06-28,18
2020-07-05,25
2020-07-12,27
2020-07-19,24
2020-07-26,45
2020-08-02,45
2020-08-09,43
2020-08-16,47
2020-08-23,60
2020-08-30,100
2020-09-06,62
2020-09-13,60
2020-09-20,53
2020-09-27,40
2020-10-04,39
2020-10-11,53
2020-10-18,35
2020-10-25,48
2020-11-01,37
2020-11-08,38
2020-11-15,30
2020-11-22,25
2020-11-29,33
2020-12-06,29
2020-12-13,32
2020-12-20,33
2020-12-27,31
2021-01-03,36
2021-01-10,32
2021-01-17,32
2021-01-24,64
2021-01-31,46
2021-02-07,31
2021-02-14,27
2021-02-21,40
2021-02-28,36
2021-03-07,40
2021-03-14,33
2021-03-21,27
2021-03-28,25
2021-04-04,30
2021-04-11,30
2021-04-18,26
2021-04-25,39
2021-05-02,26
2021-05-09,28
2021-05-16,24
2021-05-23,20
2021-05-30,16
2021-06-06,20
2021-06-13,21
2021-06-20,21
2021-06-27,21
2021-07-04,25
2021-07-11,29
2021-07-18,28
2021-07-25,34
2021-08-01,20
2021-08-08,21
2021-08-15,23
2021-08-22,23
2021-08-29,22
2021-09-05,20
2021-09-12,23
2021-09-19,20
2021-09-26,18
2021-10-03,18
2021-10-10,14
2021-10-17,16
2021-10-24,22
2021-10-31,17
2021-11-07,14
2021-11-14,17
2021-11-21,15
2021-11-28,21
2021-12-05,26
2021-12-12,24
2021-12-19,19
